Payer,Payment Date,NPI,Payment Number,Amount,Claim Count
UMR ODW LOGISTICS INC,2/23/2021,1366479099,610497523,$210.20 ,3
UMR,2/23/2021,1366479099,610498107,$0.00 ,8
UMR INFOGROUP INC,2/23/2021,1366479099,610497527,$13.11 ,1
UMR YOUNG LIFE,2/23/2021,1366479099,610497521,$219.15 ,4
UMR DICKINSON FLEET SERVICES LLC,2/23/2021,1366479099,610497526,$10.76 ,1
UMR PALMER COLLEGE OF CHIROPRACTIC,2/23/2021,1366479099,610498095,$0.00 ,2
UMR EVANS FOOD GROUP LTD,2/23/2021,1366479099,610497522,$27.17 ,1
UMR MARTEN TRANSPORT LTD,2/23/2021,1366479099,610497529,$135.00 ,4
UHC GOVERNMENT EMPLOYEES HEALTH ASSOC,2/23/2021,1366479099,610498105,$0.00 ,1
UMR EXTRA SPACE MANAGEMENT INC,2/23/2021,1366479099,610498101,$34.62 ,1
UMR WEST BEND MUTUAL INSURANCE COMPANY,2/23/2021,1366479099,610498094,$0.00 ,1
UMR GERBER COLLISION,2/23/2021,1366479099,610497524,$40.94 ,2
UMR LVMPD EMPLOYEES HEALTH WELFARE TRUST,2/23/2021,1366479099,610498097,$324.69 ,2
UHC GOVERNMENT EMPLOYEES HEALTH ASSOC,2/23/2021,1366479099,610498104,$300.00 ,3
UMR USNAS,2/23/2021,1366479099,610497532,$0.00 ,11
UHC HARVARD PILGRIM HPHC INSURANCE CO,2/23/2021,1366479099,610498103,$0.00 ,2
UHC HARVARD PILGRIM HPHC INSURANCE CO,2/23/2021,1366479099,610498102,$952.99 ,23
UMR KOLBE KOLBE MILLWORK CO INC,2/23/2021,1366479099,610497525,$100.00 ,1
UMR VENETIAN BENEFITS,2/23/2021,1366479099,610498098,$120.00 ,2
UMR ELECTRONIC THEATRE CONTROLS INC,2/23/2021,1366479099,610498096,$62.65 ,1
UMR USNAS,2/23/2021,1366479099,610497531,$226.12 ,2
UMR MCNICHOLS COMPANY,2/23/2021,1366479099,610498099,$36.28 ,1
UMR DSW INC,2/23/2021,1366479099,610498100,$56.62 ,2
UMR,2/23/2021,1366479099,610498106,"$28,485.95 ",521
UHC HARVARD PILGRIM,2/23/2021,1366479099,610497530,$973.56 ,22
UMR KIA MOTORS AMERICA INC,2/23/2021,1366479099,610497528,$336.02 ,9
UnitedHealthcare,2/23/2021,1366479099,1TR77446118,$0.00 ,2
UnitedHealthcare,2/23/2021,1366479099,1TR77448091,$0.00 ,2
UHC Community Plan of AZ Acute DD,2/23/2021,1104016088,2.02E+14,$0.00 ,1
UHC Community Plan of CA Dual,2/23/2021,1104016088,2.02E+14,$325.97 ,9
AARP Supplemental Health Plans insured by UnitedHealthcare,2/23/2021,1659390763,9610561574,$604.59 ,22
AARP Supplemental Health Plans insured by UnitedHealthcare,2/23/2021,1366479099,9610560839,$0.00 ,96
AARP Supplemental Health Plans insured by UnitedHealthcare,2/23/2021,1619913449,9610563683,$120.00 ,56
UHC Member Payment,2/23/2021,,1021721AEAAB021,$26.17 ,1
UHC Member Payment,2/23/2021,,1021821B0E3A021,$13.11 ,1
UHC Member Payment,2/23/2021,,1021721AE722021,$36.21 ,1
UHC Member Payment,2/23/2021,,1021721AE415021,$55.95 ,1
UHC Member Payment,2/23/2021,,1021721AE675021,$7.54 ,1
UHC Member Payment,2/23/2021,,1021821AFB08021,$27.53 ,1
UHC Member Payment,2/23/2021,,1021721AE65F021,$8.55 ,1
UHC Member Payment,2/23/2021,,1021721AE724021,$25.04 ,1
UHC Member Payment,2/23/2021,,1021821B0E11021,$50.08 ,1
UHC Member Payment,2/23/2021,,1021721AECDD021,$13.11 ,1
UHC Member Payment,2/23/2021,,1021821AFB16021,$98.88 ,1
UHC Member Payment,2/23/2021,,1021721AEC8C021,$72.42 ,1
UHC Member Payment,2/23/2021,,1021721AEC18021,$102.68 ,1
UHC Member Payment,2/23/2021,,1021721AE64E021,$10.26 ,1
UHC Member Payment,2/23/2021,,1021821B0E27021,$19.34 ,1
UHC Member Payment,2/23/2021,,1021721AF3D5021,$50.08 ,1
UHC Member Payment,2/23/2021,,1021821B0E32021,$66.11 ,1
Medica,2/23/2021,1366479099,1610788656,$0.00 ,1
UnitedHealthcare,2/23/2021,1366479099,1610733645,$982.90 ,46
Golden Rule,2/23/2021,1366479099,1G02172104220,$0.00 ,1
AARP Supplemental Health Plans insured by UnitedHealthcare,2/23/2021,1215191002,9610581887,$0.00 ,1
AARP Supplemental Health Plans insured by UnitedHealthcare,2/23/2021,1053785345,9610564234,$14.37 ,1
UnitedHealthcare,2/23/2021,1366479099,1TR77447863,$0.00 ,1
UHIC,2/23/2021,1104016088,2.02E+14,$0.00 ,1
UnitedHealthcare,2/23/2021,1366479099,1TR77519408,$333.58 ,29
UHC Benefits Plan of CA,2/23/2021,1366479099,1SW10368987,$0.00 ,13
UnitedHealthcare Services,2/23/2021,1366479099,1N0000000119583,$0.00 ,1
UHC Community Plan of CA Inc,2/23/2021,1104016088,2.02E+14,"$2,295.88 ",68
UHC Community Plan of Ohio Inc,2/23/2021,1104016088,2.02E+14,$0.00 ,1
AppleCare Medical Group,2/22/2021,1366479099,610547251,$0.00 ,2219
AppleCare Medical Group,2/22/2021,1366479099,610547252,$0.00 ,1
Golden Rule,2/22/2021,1366479099,1G02162105755,$0.00 ,1
Golden Rule,2/22/2021,1366479099,9G02162105756,$100.00 ,1
UHC Community Plan of CA Dual,2/22/2021,1104016088,2.02E+14,$233.01 ,2
UHC Community Plan of VA,2/22/2021,1104016088,2.02E+14,$0.00 ,1
UHIC,2/22/2021,1104016088,2.02E+14,$0.00 ,1
UHC Community Plan of CA Inc,2/22/2021,1104016088,2.02E+14,$261.60 ,10
UHC Benefits Plan of CA,2/22/2021,1366479099,1SW10364753,$0.00 ,8
UnitedHealthcare,2/22/2021,1366479099,1TR77441358,$322.92 ,6
UnitedHealthcare,2/22/2021,1366479099,1610214412,$961.24 ,38
Medica,2/22/2021,1366479099,1610253395,$649.37 ,15
COVID19 HRSA Uninsured Treatment Fund,2/22/2021,1366479099,610258676,"$36,136.23 ",415
UHC OF NEW ENGLAND INC,2/22/2021,1366479099,1610213736,$98.00 ,1
UMR QBE THE AMERICAS,2/22/2021,1366479099,610196639,$220.07 ,6
UMR ALSTON BIRD LLP,2/22/2021,1366479099,610196638,$105.35 ,3
UMR SMC CORPORATION OF AMERICA,2/22/2021,1366479099,610196636,$294.73 ,4
UMR USNAS,2/22/2021,1366479099,610196010,$0.00 ,3
UMR THE WINE GROUP INC,2/22/2021,1366479099,610196007,$61.04 ,9
UMR FREEDOM MORTGAGE CORPORATION,2/22/2021,1366479099,610196004,$164.77 ,4
UMR BIOMERIEUX INC,2/22/2021,1366479099,610196644,$62.14 ,2
UMR,2/22/2021,,610196651,$0.00 ,2
UMR PEARSON PACKAGING SYSTEMS INC,2/22/2021,1366479099,610196009,$64.91 ,1
UMR,2/22/2021,1366479099,610196650,$0.00 ,21
UMR PENTON LEARNING SYSTEMS LLC,2/22/2021,1366479099,610196635,$0.00 ,1
UMR TRUE WORLD HOLDINGS LLC,2/22/2021,1366479099,610196005,$363.30 ,7
UHC DESERT MUTUAL BENEFIT ADMINISTRATORS,2/22/2021,1366479099,610196647,$561.13 ,7
UMR PALO ALTO FOUNDATION MEDICAL GROUP,2/22/2021,1366479099,610196003,"$1,870.24 ",39
UHC NTCA GROUP HEALTH PROGRAM,2/22/2021,1366479099,610196648,$0.00 ,2
UMR CPC LOGISTICS INC,2/22/2021,1366479099,610196645,$47.97 ,9
UMR TIDI PRODUCTS LLC,2/22/2021,1366479099,610196002,$31.70 ,1
UMR UNITED FURNITURE INDUSTRIES INC,2/22/2021,1366479099,610196006,$13.11 ,2
UMR TRANSITAMERICA SERVICES INC,2/22/2021,1366479099,610196642,$314.83 ,6
UMR ISUZU MOTORS AMERICA INC,2/22/2021,1366479099,610196637,$46.19 ,3
UMR WORLD WIDE TECHNOLOGY HOLDING CO INC,2/22/2021,1366479099,610196641,$450.00 ,9
UMR COMPASS ROSE BENEFITS GROUP,2/22/2021,1366479099,610196008,$2.81 ,1
UMR ABB CONCISE OPTICAL GROUP LLC,2/22/2021,1366479099,610196643,$214.20 ,3
UMR,2/22/2021,1366479099,610196649,"$11,986.01 ",284
UMR SHIPCO TRANSPORT INC,2/22/2021,1366479099,610196640,$11.11 ,3
UMR LAWRENCE MEMORIAL HOSPITAL,2/22/2021,1366479099,610196646,$246.25 ,1
THE INSURANCE COMPANY OF THE STATE OF PA,2/22/2021,,610401504,$0.00 ,1
AMERICAN HOME ASSURANCE COMPANY,2/22/2021,,610401444,$0.00 ,1
UHC Community Plan of PA,2/22/2021,1104016088,2.02E+14,$0.00 ,1
UnitedHealthcare Services,2/22/2021,1366479099,1N0000000119401,$0.00 ,1
UHC Member Payment,2/22/2021,,1021621AB0CD021,$30.75 ,1
UHC Member Payment,2/22/2021,,1021621AB034021,$22.64 ,1
UHC Member Payment,2/22/2021,,1021721AC7F4021,$6.19 ,1
UHC Member Payment,2/22/2021,,1021721AC148021,$40.73 ,1
UHC Member Payment,2/22/2021,,1021721AC0F4021,$31.87 ,1
UHC Member Payment,2/22/2021,,1021721AC149021,$10.84 ,1
UHC Member Payment,2/22/2021,,1021721AE36A021,$13.09 ,1
UHC Member Payment,2/22/2021,,1021721AD882021,$29.08 ,1
UHC Member Payment,2/22/2021,,1021721AC810021,$62.66 ,1
UHC Member Payment,2/22/2021,,1021721AD954021,$4.13 ,1
UHC Member Payment,2/22/2021,,1021721AD51A021,$3.22 ,1
UHC Member Payment,2/22/2021,,1021621AB31D021,$12.89 ,1
UHC Member Payment,2/22/2021,,1021721AC14D021,$58.95 ,1
UHC Member Payment,2/22/2021,,1021621AB6C5021,$9.55 ,1
UHC Member Payment,2/22/2021,,1021621AB638021,$90.80 ,1
UHC Member Payment,2/22/2021,,1021621AB0C8021,$38.34 ,1
UHC Member Payment,2/22/2021,,1021621ABD12021,$16.31 ,1
UHC Member Payment,2/22/2021,,1021621ABB98021,$41.87 ,1
UHC Member Payment,2/22/2021,,1021621AB12C021,$11.58 ,1
UHC Member Payment,2/22/2021,,1021621AC056021,$26.22 ,1
UHC Member Payment,2/22/2021,,1021721AD944021,$71.77 ,1
AARP Supplemental Health Plans insured by UnitedHealthcare,2/22/2021,1366479099,9610102123,$0.00 ,3
AARP Supplemental Health Plans insured by UnitedHealthcare,2/22/2021,1659390763,9610102830,$165.97 ,2
UHC Member Payment,2/22/2021,,1021621ABB93021,$6.92 ,1
UHC Member Payment,2/22/2021,,1021621AAD3C021,$8.63 ,1
Oxford Health Insurance Inc,2/22/2021,1366479099,12229153,$0.00 ,72
AARP Supplemental Health Plans insured by UnitedHealthcare,2/22/2021,1619913449,9610103797,$0.00 ,1
Oxford Health Insurance Inc,2/19/2021,1366479099,12214894,$69.92 ,8
UMR NRECA,2/19/2021,1366479099,609664572,$200.00 ,2
UMR FOREST RIVER INC,2/19/2021,1366479099,609664568,$354.10 ,5
UMR CITY OF GREEN BAY,2/19/2021,1366479099,609665213,$50.08 ,1
UMR COMPASS ROSE BENEFITS GROUP,2/19/2021,1366479099,609665214,$341.41 ,3
UMR COOPERATIVE RESOURCES INTERNATIONAL,2/19/2021,1366479099,609664569,$62.90 ,3
UHC Member Payment,2/19/2021,,1021221A0EF2021,$44.21 ,1
UHC Member Payment,2/19/2021,,1021221A13DF021,$10.74 ,1
UHC Member Payment,2/19/2021,,1021221A132D021,$21.11 ,1
UHC Member Payment,2/19/2021,,1021221A10C9021,$26.20 ,1
UHC Member Payment,2/19/2021,,1021221A1330021,$3.69 ,1
UHC Member Payment,2/19/2021,,1021221A146C021,$6.92 ,1
UHC Member Payment,2/19/2021,,1021221A18A4021,$30.00 ,1
UnitedHealthcare Services,2/19/2021,1366479099,1E0000000080457,$11.35 ,1
UnitedHealthcare Services,2/19/2021,1366479099,1E0000000080457,$56.51 ,1
UnitedHealthcare Services,2/19/2021,1366479099,1E0000000080457,$57.52 ,1
